Code dossier BHL,Rubrique courte,Sexe,Statut,Statut religieux,Rubrique,Relations : Dossiers BHL / Codes BHL,Relations : Dossiers BHL / Saints,type.canondate
Optatus,Optatus ep. Autisiodorensis,homme,ecclésiastique,séculier,Optatus ep. Autisiodorensis,['BHL Optatus |'],['Optatus (2327)'],
Oriculus,Oriculus et soc. m.,homme,ecclésiastique,séculier,Oriculus et soc. m.,"['BHL 6343m | Passio', 'BHL 6343p | Miracula', 'BHL Oriculus |']",['Oriculus (3655)'],
Orientius,Orientius ep. Auscensis,homme,ecclésiastique,séculier,Orientius ep. Auscensis,"['BHL 6344 | Vita', 'BHL 6345 | Vita', 'BHL 6346 | Vita et miracula. Vita', 'BHL 6347 | Vita et miracula. Miracula', 'BHL 6348 | Vita', 'BHL 6349 | Laudatio (antiqua ?)', 'BHL Orientius |']",['Orientius (2328)'],
Oringa,Oringa v. Ord. S. Aug.,femme,laïc,régulier,Oringa seu Christiana v. Ord. S. Aug.,"['BHL 6350 | Vita', 'BHL Oringa |']",['Oringa (2329)'],
Orm,Orm puer Anglia m.,homme,laïc,séculier,Orm puer Anglia m.,"['BHL 6350d | Vita et visio', 'BHL Orm |']",['Orm (3656)'],
Ortarius,Ortarius ab. in Normannia,homme,ecclésiastique,séculier,Ortarius ab. in Normannia,"['BHL 6351 | Vita', 'BHL Ortarius |']",['Ortarius (2331)'],
Osgitha,Osgitha v. m. in Anglia,femme,laïc,séculier,Osgitha (Ositha) v. m. in Anglia,"['BHL 6352 | Vita', 'BHL 6352c | Vita ""Burensis""', 'BHL 6353 | Epitome', 'BHL 6353d | Lectiones. a. Wigornienses.', 'BHL 6353e | Lectiones. b. Herefordenses.', 'BHL Osgitha |']",['Osgitha (2332)'],
Osmanna,Osmanna v.,femme,laïc,séculier,Osmanna v.,"['BHL 6354 | Vita', 'BHL 6355 | Vita', 'BHL 6356 | Vita', 'BHL 6357 | Vita', 'BHL Osmanna |']",['Osmanna (2333)'],
Osmundus,Osmundus ep. Sarisberiensis,homme,ecclésiastique,séculier,Osmundus ep. Sarisberiensis,"['BHL 6358 | Laudatio', 'BHL 6359 | Sermo de translatione', 'BHL 6360 | Miracula', 'BHL Osmundus |']",['Osmundus (2334)'],1457
Oswaldus01,Oswaldus rex Nordanhymbrorum,homme,laïc,séculier,Oswaldus rex Nordanhymbrorum,"[""BHL 6361 | D'après Bède, Hist. eccl., lib. III, c. 1-lib. IV, c. 4"", 'BHL 6361b |', 'BHL 6362 | Vita auct. Drogone mon. S. Winnoci Bergensis', 'BHL 6363 | Vita auct. Drogone mon. S. Winnoci Bergensis', 'BHL 6364 | Vita auct. Drogone mon. S. Winnoci Bergensis', 'BHL 6365 | Vita auct. Reginaldo mon. Dunelmensi,libris 3', 'BHL 6365d | Vita auct. Henrico Abricensi', 'BHL 6366 | Vita', 'BHL 6367 | Vita', 'BHL 6368 | Vita et miracula. I. Vita', 'BHL 6369 | Vita et miracula. II. Miracula', 'BHL 6370 | Vita', 'BHL 6370b | Vita', 'BHL 6371 | Vita', 'BHL 6372 | Vita', 'BHL 6373 | Vita', 'BHL 6373d | Vita', 'BHL Oswaldus01 |']",['Oswaldus (2335)'],
Oswaldus02,Oswaldus ep. Wigorniensis,homme,ecclésiastique,séculier,"Oswaldus ep. Wigorniensis, dein Eboracensis","['BHL 6374 | Vita auct. Byrhferth', 'BHL 6375 | Vita et miracula auct. Eadmero. Vita', 'BHL 6376 | Vita et miracula auct. Eadmero. Miracula', 'BHL 6377 | Vita auct. Senato priore Wigorniensi', 'BHL 6378 | Vita (in "" Libro benefactorum ecclesiae Ramesiensis"")', 'BHL 6379 | Vita', 'BHL 6380 | Vita', 'BHL Oswaldus02 |']",['Oswaldus (2336)'],
Oswinus,Oswinus rex Deirorum,homme,laïc,séculier,Oswinus (Osuini) rex Deirorum,"['BHL 6381 | Narratio Bedae', 'BHL 6382 | Vita, inventio, miracula. Vita', 'BHL 6383 | Vita, inventio, miracula. Inventio', 'BHL 6384 | Vita, inventio, miracula. Miracula', 'BHL 6385 | Vita', 'BHL Oswinus |']",['Oswinus (2337)'],
Otmarus,Otmarus ab. Sangalllensis,homme,ecclésiastique,régulier,Otmarus ab. Sangalllensis,"['BHL 6386 | Vita scripta a Gozberto iuniore, retractata a Walahfrido Strabone', 'BHL 6386d | Vita', 'BHL 6387 | Miracula auct. Ysone mon. Sangallensi', 'BHL 6388 | Rhythmi auct. Ekkehardo IV ab. Sangallensi', 'BHL 6389 | Epitomae', 'BHL 6389d | Epitome et retractatio vitae', 'BHL 6389e | Additamenta', 'BHL 6389f |', 'BHL 6389g |', 'BHL Otmarus |']",['Otmarus (2338)'],
Otto01,Otto erem. Arianensis,homme,ecclésiastique,régulier,Otto erem. Arianensis,"['BHL 6390 | Vita quae fingitur ab ipso Ottone scripta', 'BHL 6391 | Lectiones', 'BHL Otto01 |']",['Otto (2340)'],
Otto02,Otto ep. Babenbergensis,homme,ecclésiastique,séculier,Otto ep. Babenbergensis,"['BHL 6392 | Relatio de piis operibus Ottonis', 'BHL 6393 | Laudatio rhythmica', 'BHL 6394 | Vita auct. monacho Prufeningensi, libris 3', 'BHL 6395 | Vita auct. Ebone monacho Montis S. Michaelis, libris 3', 'BHL 6396 | Vita auct. Ebone monacho Montis S.Michaelis, libris 3. (Recensio contracta saec. XII extr. et Romam delata)', 'BHL 6397 | Dialogus de vita auct. Herbordo scholastico Montis S. Michaelis, libris 3', 'BHL 6397a | Epitome', 'BHL 6398 | Dialogus de vita, auct. Herbordo scholastico Montis S. Michaelis, libris 3', 'BHL 6399 | Sermo in memoriam', 'BHL 6400 | Miracula, canonizatio an. 1189 et elevatio', 'BHL 6401 | Miracula, canonizatio an. 1189 et elevatio', 'BHL 6402 | Vita', 'BHL 6403 | Vita. Epitome', 'BHL 6404 | Vita et miracula auct. Andrea ab. Montis S. Michaelis, libris 4. (Recensio prior)', 'BHL 6405 | Vita et miracula auct. Andrea ab. Montis S. Michaelis, libris 4. (Miracula)', 'BHL 6406 | Vita et miracula auct. Andrea ab. Montis S. Michaelis, libris 4. (Recensio posterior)', 'BHL 6407 | Vita et miracula auct. Andrea ab. Montis S. Michaelis, libris 4. (Recensio posterior).(Miracula)', 'BHL 6407b | Vita metrica (in Pomorania saec. XV composita)', 'BHL Otto02 |']",['Otto (2341)'],1189
Oudoceus,Oudoceus ep. Landavensis,homme,ecclésiastique,séculier,Oudoceus ep. Landavensis,"['BHL 6408 | Vita', 'BHL 6409 | Epitome', 'BHL Oudoceus |']",['Oudoceus (2342)'],
Pachomius01,Pachomius ab. Tabennensis,homme,ecclésiastique,régulier,Pachomius ab. Tabennensis,"['BHL 6410 | Vita interprete Dionysio Exiguo', 'BHL 6410d | Excerptum de Libro qui appellatur ""Paradisus""', 'BHL Pachomius01 |']",['Pachomius (2343)'],
Pachomius02,Pachomius ab. in Aegypto,homme,ecclésiastique,régulier,"Pachomius (al. Pasthumius, Posthumius), iunior, ab. in Aegypto","['BHL 6411 | Vita', 'BHL 6412 | Vita', 'BHL 6412a |', 'BHL 6412b |', 'BHL 6412d |', 'BHL Pachomius02 |']",['Pachomius (2344)'],
Pacificus,Pacificus Ord. Min.,homme,ecclésiastique,régulier,Pacificus conf. Ord. Min. + Lensii,['BHL Pacificus |'],['Pacificus (2345)'],
Paduinus,Paduinus ab.,homme,ecclésiastique,régulier,Paduinus ab. apud Cenomannos,"['BHL 6413 | Vita', 'BHL Paduinus |']",['Paduinus (2346)'],
Palatiates,Palatiates et Laurentia,femme,laïc,séculier,Palatiates et Laurentia v. et m. cultae Anconae,"['BHL 6414 | Passio', 'BHL 6414d | Inventio corporis S. Laurentiae', 'BHL Palatiates |']","['Laurentia (1815)', 'Palatiates (2347)']",
Paldo,"Paldo, Tato et Taso ab. S. Vincentii",homme,ecclésiastique,régulier,"Paldo, Tato et Taso ab. S. Vincentii ad Vulturnum","['BHL 6415 | Vita (Paldonis et successorum eius Tatonis ac Tasonis) auct. Ambrosio Autperto', 'BHL 6416 | Vita auct. Petro presb.', 'BHL Paldo |']","['Paldo (2348)', 'Taso (3789)', 'Tato (3788)']",
Palladius01,Palladius ep. Autisiodorensis,homme,ecclésiastique,séculier,Palladius ep. Autisiodorensis,['BHL Palladius01 |'],['Palladius (2349)'],
Palladius02,Palladius Hibernorum apostolus,homme,ecclésiastique,séculier,"Palladius ep., Hibernorum (Scottorum) apost.","['BHL 6417 | Vita', 'BHL Palladius02 |']",['Palladius (2350)'],
Pambo,Pambo ab. in Nitria,homme,ecclésiastique,régulier,Pambo ab. in Nitria,['BHL Pambo |'],['Pambo (2351)'],
Pamphilus01,Pamphilus m. Caesareae,homme,ecclésiastique,séculier,Pamphilus presb. m. Caesareae .,['BHL Pamphilus01 |'],['Pamphilus (2352)'],
Pamphilus02,Pamphilus ep. Sulmonensis,homme,ecclésiastique,séculier,Pamphilus ep. Sulmonensis et Corfiniensis,"['BHL 6418 | Vita', 'BHL 6418b | Vita', 'BHL 6418d | Vita', 'BHL 6419 | Epitome', 'BHL 6419b | Miracula', 'BHL 6419c |', 'BHL 6419d |', 'BHL 6419f | Miraculum', 'BHL Pamphilus02 |']",['Pamphilus (2353)'],
Pancratius01,Pancratius m. Romae,homme,laïc,séculier,Pancratius m. Romae,"['BHL 6420 | Passio', 'BHL 6421 | Passio', 'BHL 6421c |', 'BHL 6422 | Passio', 'BHL 6423 | Passio', 'BHL 6423b | Passio', 'BHL 6424 | Passio', 'BHL 6425 | Passio', 'BHL 6425b | Passio', 'BHL 6426 | Passio', 'BHL 6427 | Passio', 'BHL 6427b | Passio', 'BHL 6428 | Miracula', 'BHL 6428c | Versus 312', 'BHL Pancratius01 |']",['Pancratius (2354)'],
Pancratius02,Pancratius ep. Tauromenii,homme,ecclésiastique,séculier,Pancratius ep.Tauromenii m.,"['BHL 6428d | Vita auct. Pseudo-Evagrio', 'BHL Pancratius02 |']",['Pancratius (3657)'],
Pantaenus,Pantaenus presb. Alexandrinus,homme,ecclésiastique,séculier,Pantaenus presb. Alexandrinus,['BHL Pantaenus |'],['Pantaenus (2356)'],
Pantaleon,Pantaleon m. Nicomediae,homme,ecclésiastique,séculier,Pantaleon m. Nicomediae,"['BHL 6429 | Passio', 'BHL 6429b | Passio', 'BHL 6429c | Passio', 'BHL 6429d | Passio', 'BHL 6430 | Passio', 'BHL 6431 | Passio', 'BHL 6432 | Passio', 'BHL 6432a |', 'BHL 6433 | Passio', 'BHL 6434 | Passio', 'BHL 6434b |', 'BHL 6435 | Passio', 'BHL 6436 | Passio', 'BHL 6437 | Passio', 'BHL 6438 | Passio', 'BHL 6439 | Passio', 'BHL 6440 | Passio', 'BHL 6440a |', 'BHL 6441 | Passio', 'BHL 6442 | Passio', 'BHL 6442a |', 'BHL 6442b | Passio', 'BHL 6442c | Passio', 'BHL 6442d | Passio', 'BHL 6442e | Passio', 'BHL 6442f | Passio', 'BHL 6443 | Translatio reliquiarum Virodunum saec. XI in. (Epistula monachorum S. Vitonis Virod.)', 'BHL 6444 | Miracula Pataviae facta an. 1046 et sqq.', 'BHL 6444b | Sermo et miracula auct. Ruperto abbate Tuitiensi', 'BHL 6445 | Miracula auct. monacho S. Pantaleonis Coloniensis', 'BHL 6446 | Passio et translatio brachii Cremam saec. XV, auct. Augustino de Crema', 'BHL 6447 | Passio et translatio brachii Cremam saec. XV, auct. Augustino de Crema', 'BHL 6448 | Oratio in translatione brachii Cremam saec. XV, auct. Bartholomeo Canapario', 'BHL Pantaleon |']",['Pantaleon (2358)'],
Pantalus,Pantalus ep. Basileensis,homme,ecclésiastique,séculier,Pantalus ep. Basileensis,"['BHL 6449 | Lectiones', 'BHL Pantalus |']",['Pantalus (2359)'],
Paphnutius,Paphnutius ab. Heracleensis in Thebaide,homme,ecclésiastique,régulier,Paphnutius ab. Heracleensis in Thebaide,"['BHL 6450 | Vita', 'BHL 6450d | Vita', 'BHL Paphnutius |']",['Paphnutius (2360)'],
Papias,Papias et Maurus,homme,laïc,séculier,Papias et Maurus m. Romae,['BHL Papias |'],"['Maurus (2129)', 'Papias (2361)']",
Papinianus,Papinianus et Mansuetus,homme,ecclésiastique,séculier,Papinianus et Mansuetus ep. m. in Africa,['BHL Papinianus |'],"['Mansuetus (3792)', 'Papinianus (3791)']",
Pappius,Pappius seu Pappianus,homme,ecclésiastique,séculier,Pappius (seu Pappinaus m. in Sicilia ?),"['BHL 6451 | Passio (antiqua?)', 'BHL Pappius |']",['Pappius (3793)'],
Papula,Papula monialis Turonensis,femme,laïc,régulier,Papula monialis Turonensis,"['BHL 6452 | Narratio', 'BHL Papula |']",['Papula (2362)'],
Papulus,Papulus m.,homme,ecclésiastique,séculier,Papulus m. in agro Tolosano,"['BHL 6453 | Vita (auct. Flavio Anselmo mon.Beccensi?)', 'BHL 6454 | Vita auct. Bernardo Guidonis', 'BHL 6455 | Vita auct. Bernardo Guidonis', 'BHL 6456 | Lectiones', 'BHL 6457 | Narratio', 'BHL Papulus |']",['Papulus (2363)'],
Paractalis,Paractalis m. Spoleti,homme,ecclésiastique,séculier,Paractalis seu Baractalis m. Spoleti,"['BHL 6457b | Vita', 'BHL Paractalis |']",['Paractalis (3658)'],
Pardulfus,Pardulfus ab. Waractensis,homme,ecclésiastique,régulier,Pardulfus ab. Waractensis,"['BHL 6458 | Vita', 'BHL 6459 | Vita', 'BHL 6460 | Vita', 'BHL 6461 | Vita', 'BHL 6462 | Epitomae', 'BHL 6463 | Epitomae', 'BHL Pardulfus |']",['Pardulfus (2364)'],
Pardus,Pardus ep. in Peloponeso,homme,ecclésiastique,séculier,"Pardus ep. in Peloponeso, patronus Larinatum","['BHL 6464 | Vita', 'BHL 6465 | Vita et translatio auct. Radoino diac. Larinensi', 'BHL Pardus |']",['Pardus (2365)'],
Paris,Paris ep. Teanensis,homme,ecclésiastique,séculier,Paris ep. Teanensis,"['BHL 6466 | Vita', 'BHL Paris |']",['Paris (2366)'],
Parmenius,Parmenius et soc. in Perside,homme,ecclésiastique,séculier,Parmenius presb. et soc. m. Cordulae in Perside,['BHL Parmenius |'],['Parmenius (2368)'],
Parthaeus,Parthaeus et soc. m. Calvi,mixte,laïc,séculier,"Parthaeus, Parthenopaeus, Paragorius, Restituta, m. Calvi in Corsica","['BHL 6466e | Passio', 'BHL Parthaeus |']","['Paragorius (3661)', 'Parthaeus (3659)', 'Parthenopaeus (3660)', 'Restituta (3662)']",
Paschalis,Paschalis I papa,homme,ecclésiastique,séculier,Paschalis I papa,"['BHL 6467 | Vita', 'BHL 6468 | Carmen auct. Flodoardo', 'BHL Paschalis |']",['Paschalis (2370)'],
Paschasius01,Paschasius ep. Hibernus,homme,ecclésiastique,séculier,"Paschasius ep. Hibernus, erem. in monte Gargano","['BHL 6469 | Vita', 'BHL Paschasius01 |']",['Paschasius (2371)'],
Paschasius02,Paschasius diac. Romanus,homme,ecclésiastique,séculier,Paschasius diac. Romanus,['BHL Paschasius02 |'],['Paschasius (2372)'],
Pasicrates,Pasicrates m. Atinae,homme,laïc,séculier,"Pasicrates m. Atinae, soc. SS. Nicandri et Marciani","['BHL 6470 | Passio adscripta Petro diac.', 'BHL Pasicrates |']",['Pasicrates (2373)'],
Pastor01,Pastor ab. in Sceti,homme,ecclésiastique,régulier,Pastor ab. in Sceti,['BHL Pastor01 |'],['Pastor (2374)'],
Pastor02,Pastor m. Romae,homme,ecclésiastique,séculier,Pastor m. Romae,"['BHL 6470d | Passio', 'BHL 6470g | Laudatio', 'BHL Pastor02 |']",['Pastor (3663)'],
Patermuthius,Patermuthius et soc. m.,homme,ecclésiastique,régulier,Patermuthius et soc. mm. in Aegypto,"['BHL 6471 | Passio', 'BHL Patermuthius |']",['Patermuthius (2376)'],
Paternianus,Paternianus ep. Fanensis,homme,ecclésiastique,séculier,Paternianus ep. Fanensis,"['BHL 6472 | Vita', 'BHL 6472b |', 'BHL 6472c | Additamentum', 'BHL 6473 | Vita', 'BHL 6473b | Vita', 'BHL 6474 | Vita', 'BHL 6475 | Miracula (adiecta Vitae 1 ?)', 'BHL 6476 | Miracula (adiecta Vitae 1 ?)', 'BHL Paternianus |']",['Paternianus (2377)'],
Paternus01,Paternus ep. Abrincensis,homme,ecclésiastique,séculier,Paternus ep. Abrincensis,"['BHL 6477 | Vita auct. Fortunato', 'BHL Paternus01 |']",['Paternus (2378)'],
Paternus02,Paternus m. Fundis,homme,laïc,séculier,Paternus m. Fundis,"['BHL 6477b | Passio', 'BHL 6478 | Passio (antiqua?)', 'BHL Paternus02 |']",['Paternus (2379)'],
Paternus03,Paternus m. apud Senonas,homme,ecclésiastique,régulier,Paternus mon. et m. apud Senonas,"['BHL 6479 | Vita', 'BHL Paternus03 |']",['Paternus (2380)'],
Paternus04,Paternus ep. Veneticus,homme,ecclésiastique,séculier,Paternus ep. Veneticus,"['BHL 6480 | Vita', 'BHL 6481 | Epitome', 'BHL Paternus04 |']",['Paternus (2381)'],
Patiens,Patiens ep. Mettensis,homme,ecclésiastique,séculier,Patiens ep. Mettensis,"['BHL 6482 | Vita auct. monacho S. Arnulfi Mettensis', 'BHL Patiens |']",['Patiens (2382)'],
Patricia,Patricia culta Neapoli,femme,laïc,régulier,Patricia v. Constantinopolitana culta Neapoli,"['BHL 6483 | Vita', 'BHL 6484 | Vita auct. Leone presb', 'BHL 6484b |', 'BHL 6485 | Vita auct. Leone presb', 'BHL 6486 | Vita auct. Leone presb', 'BHL 6487 | Vita auct. Leone presb', 'BHL 6488 | Vita auct. Leone presb.Miracula', 'BHL 6489 | Vita auct. Leone presb', 'BHL 6490 | Miracula', 'BHL 6491 | Miracula', 'BHL Patricia |']",['Patricia (2383)'],
Patricius,Patricius apostolus Hibernorum,homme,ecclésiastique,séculier,Patricius ep. apostolus Hibernorum,"['BHL 6492 | Confessio S. Patricii', 'BHL 6493 | Patrich epistula ad christianos Corotici tyranni subditos', 'BHL 6494 | Dicta Patricii', 'BHL 6495 | Hymnus auct. Secundino', 'BHL 6496 | Collectanea Tirechani ep.', 'BHL 6497 | Commentarius auct. Muirchu Maccu-Machtheni', 'BHL 6498 | Commentarius auct. Muirchu Maccu-Machtheni', 'BHL 6498a |', 'BHL 6498e | Vita', 'BHL 6499 | Additamenta ad Collectanea Tirechani', 'BHL 6500 | Liber Angueli', 'BHL 6500b |', 'BHL 6501 | Vita (in ""Historia Brittonum""). a', 'BHL 6502 | Vita (in ""Historia Brittonum""). b', 'BHL 6503 | Vita', 'BHL 6504 | Vita', 'BHL 6505 | Vita', 'BHL 6506 | Vita', 'BHL 6507 | Vita', 'BHL 6508 | Vita auct. Probo mon., libris 2', 'BHL 6509 | Vita tripartita (maximam partem hibernice conscripta)', 'BHL 6510 | De Purgatorio S. Patricii, auct. Henrico mon. Salteriensi', 'BHL 6510b | Appendices', 'BHL 6510c |', 'BHL 6511 | De Purgatorio S. Patricii, auct. Henrico mon. Salteriensi', 'BHL 6512 | De Purgatorio S. Patricii, auct. Henrico mon. Salteriensi', 'BHL 6512a |', 'BHL 6512b |', 'BHL 6512d |', 'BHL 6512f | (Epitome)', 'BHL 6512h | (Epitome)', 'BHL 6512k | (Epitome)', 'BHL 6512m | Visitatio Georgii de Krisszafan an. 1353', 'BHL 6512n | Visio Ludovici de Francia an. 1360', 'BHL 6512o | Visitatio Ludovici de Sur.', 'BHL 6512q | Memoriale super visitatione Laurentii Ratholdi, auct. Iacobo Yonge', 'BHL 6512r | De eodem Purgatorio auct. Petro de Cornubia', 'BHL 6513 | Vita auct. Iocelino mon.de Furnesio', 'BHL 6513b | Vitae fragmentum', 'BHL 6514 | Vitae epitomae', 'BHL 6515 | Vitae epitomae', 'BHL 6516 | Vitae epitomae', 'BHL 6516b | (auct. Augustino de Novis)', 'BHL 6517 | Inventio (S. Patricii, S. Columbae ab.et S. Brigidae) saec. XII extr. (Narratio antiqua ?)', 'BHL 6518 | ""Charta S. Patricii""seu epistula (spuria) de Antiquitate Avalonica', 'BHL 6518d | De elevacione manuum s. Patricii et victoria', 'BHL Patricius |']",['Patricius (2384)'],
Patroclus01,Patroclus erem. in agro Bituricensi,homme,ecclésiastique,régulier,Patroclus erem. in agro Bituricensi,"['BHL 6519 | Vita auct. Gregorio Turon.', 'BHL Patroclus01 |']",['Patroclus (2385)'],
Patroclus02,Patroclus m. Trecis,homme,laïc,séculier,Patroclus m. Trecis,"['BHL 6520 | Passio', 'BHL 6521 | Passio', 'BHL 6521b | Passio', 'BHL 6522 | Miraculum', 'BHL 6523 | Translatio Susatum an. 959', 'BHL 6523b |', 'BHL 6523d |', 'BHL Patroclus02 |']",['Patroclus (2386)'],
Patroni01,Patroni Sueciae,homme,indéterminé,indéterminé,Patroni Sueciae,"['BHL 6523m | Lectiones liturgicae', 'BHL Patroni01 |']",['Patroni Sueciae (3664)'],
Patroni02,Patroni Trevirenses,homme,indéterminé,indéterminé,Patroni Trevirenses,"['BHL 6523n | Miracula', 'BHL Patroni02 |']",['Patroni Trevirenses (3665)'],
Patrum,Patrum Vitae,homme,indéterminé,régulier,Patrum Vitae,"['BHL 6524 | Rufini Historia monachorum', 'BHL 6525 | Verba Seniorum (auct. Rufino ?)', 'BHL 6526 | Narrationes excerptae ex scriptis Sulpitii Severi et Cassiani', 'BHL 6527 | Verba seniorum, interprete Pelagio diacono Romano', 'BHL 6528 | Verba seniorum, interprete Pelagio diacono Romano', 'BHL 6529 | Verba seniorum, interprete Iohanne subdiacono Romano', 'BHL 6530 | Appendix', 'BHL 6530a |', 'BHL 6530v | Liber Geronticon de octo principalibus vitiis, auct. Paschasio Dumiensi', 'BHL 6531 | Verba seniorum, interprete Paschasio diacono Romano', ""BHL 6531a | Appendix (=cap. ''), interprete anonymo"", 'BHL 6531b | (Recensio locupletior, genuina?)', 'BHL 6531c |', 'BHL 6531m | Commonitiones sanctorum Patrum auct. anonymo cca 500 (?), interprete anonymo (saec. VI)', 'BHL 6532 | Paladii Historia Lausiaca ""Paradisus Heraclidis""', 'BHL 6533 | Paladii Historia Lausiaca ""Paradisus Heraclidis""', 'BHL 6533d |', 'BHL 6534 | Paladii Historia Lausiaca ""Paradisus Heraclidis""', 'BHL 6534b | (Epitome)', 'BHL 6534d | Prologi metriciin Historiam Lausiacam', 'BHL 6534e |', 'BHL 6534g |', 'BHL 6535 | Aegyptorum Patrum sententiae, interprete Martino Dumiensi', 'BHL 6536 | Iohannis Moschi Pratum spirituale (interprete Ambrosio Camaldulensi)', 'BHL 6536a | Narrationes de SS. Patribus ab Ambrosio Traversario translatae. I. (De SS. Patribus in Raithu)', 'BHL 6536b | (De Marco Salo)', 'BHL 6536c | (De Daniele ab.)', 'BHL 6536d | (De Eulogio Latomo)', 'BHL 6536e | (De Anastasia patricia)', 'BHL 6536f | (De Senatrice eremita)', 'BHL 6536g | (De Canonica muliere)', 'BHL 6536h | (Septem capitula abbatis Moysis)', 'BHL 6536i | (Alia eiusdem)', 'BHL 6536k | (Dicta ab. Zosimae)', 'BHL 6536m | (Capitula ab. Ammonis)', 'BHL 6536p | Iohannis Monachi Liber de miraculis (partim translatus e J. Moschi Prato spirituali)', 'BHL 6537 | De sententiis Patrum eremitarum epitome adscripta Petro Caelestino papae', 'BHL 6538 | Breviores sententiae de conversatione Patrum Aegyptiorum', 'BHL 6538d | Sententiae Patrum (numero 36)', 'BHL 6539 | De laude et effectu virtutum', 'BHL 6540 | Epitome (""Capitula B. Hieronymi de Vitis Patrum"")', 'BHL 6541 | Gregorii Turonensis Liber vitae Patrum', 'BHL 6542 | Gregorii Magni Dialogorum libri IV de vita et miraculis Patrum Italicorum', 'BHL 6542b | Excerpta e Dialogorum libris IV', 'BHL 6543 | Apophthegmata Patrum perperam adscripta S. Petronio ep. Bononiensi', 'BHL 6544 | Liber de ortu et obitu SS. Patrum, adscriptus S. Isidoro ep. Hispalensi (Recensio longior)', 'BHL 6544b |', 'BHL 6544d |', 'BHL 6545 | (Recensio longior)', 'BHL 6545b |', 'BHL 6546 | Liber de ortu et obitu SS. Patrum, adscriptus S. Isidoro ep. Hispalensi (Recensio longior)', 'BHL 6547 | Liber de ortu et obitu SS. Patrum, adscriptus S. Isidoro ep. Hispalensi (Recensio longior)', 'BHL 6547b | (Recensio brevissima)', 'BHL 6547d |', 'BHL Patrum |']",['Patrum (3794)'],
Paula01,Paula vidua Romana,femme,laïc,régulier,"Paula vidua Romana, + in Bethleem","['BHL 6548 | Vita auct. Hieronymo', 'BHL 6548b |', 'BHL 6549 | Carmen auct.Flodoardo', 'BHL 6550 | Epitome vitae 1', 'BHL Paula01 |']",['Paula (2388)'],
